timestamp,Infrared to Red Signal Ratio
09/20/23 20:20:33,0
09/20/23 20:21:33,2
09/20/23 20:22:33,3
09/20/23 20:23:33,4
09/20/23 20:44:01,5
09/20/23 20:45:01,0
09/20/23 20:46:01,0
09/20/23 20:47:02,15
09/20/23 20:48:02,4
09/20/23 20:49:02,0
09/20/23 20:50:02,-24
09/20/23 20:51:02,0
09/20/23 20:52:02,0
09/20/23 20:53:02,-2
09/20/23 20:54:03,8
09/20/23 20:55:03,16
09/20/23 20:56:03,0
09/20/23 20:57:03,4
09/20/23 20:58:03,0
09/20/23 20:59:04,-3
09/20/23 21:00:04,-37
09/20/23 21:01:04,27
09/20/23 21:02:04,-17
09/20/23 21:03:04,54
09/20/23 21:04:04,-28
09/20/23 21:05:05,0
09/20/23 21:06:05,0
09/20/23 21:07:05,2
09/20/23 21:08:05,0
09/20/23 21:09:04,-4
09/20/23 21:10:04,0
09/20/23 21:11:05,0
09/20/23 21:12:05,-1
09/20/23 21:13:05,49
09/20/23 21:14:05,60
09/20/23 21:15:05,-1
09/20/23 21:16:05,0
09/20/23 21:17:05,28
09/20/23 21:18:06,-4
09/20/23 21:19:06,15
09/20/23 21:20:06,23
09/20/23 21:21:06,31
09/20/23 21:22:06,6
09/20/23 21:23:06,12
09/20/23 21:24:07,-9
09/20/23 21:25:07,-1
09/20/23 21:26:07,4
09/20/23 21:27:07,-6
09/20/23 21:28:07,0
09/20/23 21:29:07,34
09/20/23 21:30:07,46
09/20/23 21:31:08,38
09/20/23 21:32:08,0
09/20/23 21:33:08,0
09/20/23 21:34:08,-1
09/20/23 21:35:08,-2
09/20/23 21:36:08,-13
09/20/23 21:37:08,-18
09/20/23 21:38:09,-1
09/20/23 21:39:09,2
09/20/23 21:40:09,-1
09/20/23 21:41:09,4
09/20/23 21:42:09,-53
09/20/23 21:43:13,-21
09/20/23 21:44:13,55
09/20/23 21:45:13,-4
09/20/23 21:46:13,-36
09/20/23 21:47:13,-1
09/20/23 21:48:13,-7
09/20/23 21:49:13,1
09/20/23 21:50:14,-5
09/20/23 21:51:14,-1
